data,ticker,cod_bdi,preco_ab,preco_max,preco_min,preco_med,preco_fech,qtd_neg,qtde_tit,vol_fin
2020-01-02,ITUB4,02,37.28,38.03,36.99,37.8,38.03,45363,20666100,781215145.0
2020-01-03,ITUB4,02,37.5,38.24,37.45,37.76,37.63,33425,24891400,940038404.0
2020-01-06,ITUB4,02,37.55,37.58,36.91,37.2,37.07,35021,22294700,829472521.0
2020-01-07,ITUB4,02,37.07,37.24,36.21,36.47,36.21,35541,20000900,729492740.0
2020-01-08,ITUB4,02,36.45,36.81,35.62,35.96,35.62,46486,25980900,934524315.0
2020-01-09,ITUB4,02,35.79,35.93,34.52,34.99,34.91,68889,48423800,1694588742.0
2020-01-10,ITUB4,02,35.08,35.45,34.57,34.87,34.6,50880,25521600,890022931.0
2020-01-13,ITUB4,02,35.02,35.4,34.74,35.12,35.06,44776,29200700,1025651222.0
2020-01-14,ITUB4,02,34.92,35.06,34.63,34.85,35.06,39725,18433300,642460363.0
2020-01-15,ITUB4,02,34.89,34.94,34.4,34.64,34.63,49574,32757500,1134814868.0
2020-01-16,ITUB4,02,34.9,35.07,34.42,34.73,34.7,50833,22857500,794064414.0
2020-01-17,ITUB4,02,34.9,35.3,34.73,34.98,34.94,38325,19722900,690059367.0
2020-01-20,ITUB4,02,34.8,35.0,34.16,34.44,34.23,45812,18322200,631180075.0
2020-01-21,ITUB4,02,34.01,34.48,33.44,33.77,33.5,56759,26878100,907738220.0
2020-01-22,ITUB4,02,33.85,34.07,33.5,33.67,33.7,40831,17443500,587453194.0
2020-01-23,ITUB4,02,33.5,34.81,33.4,34.33,34.5,61152,33077600,1135769866.0
2020-01-24,ITUB4,02,34.61,34.62,33.95,34.24,34.24,25664,14756100,505261608.0
2020-01-27,ITUB4,02,33.74,34.09,33.41,33.7,33.5,39187,14387100,484983984.0
2020-01-28,ITUB4,02,33.77,33.97,33.3,33.5,33.49,38923,17185400,575816260.0
2020-01-29,ITUB4,02,33.69,33.79,32.92,33.28,32.97,52021,20071400,668022348.0
2020-01-30,ITUB4,02,32.65,33.45,32.58,32.9,33.45,56111,41789800,1374939211.0
