data,ticker,cod_bdi,preco_ab,preco_max,preco_min,preco_med,preco_fech,qtd_neg,qtde_tit,vol_fin
2020-01-02,PETR4,02,30.51,30.7,30.31,30.57,30.7,64405,37774500,1154777493.0
2020-01-03,PETR4,02,30.88,31.24,30.45,30.78,30.45,62969,71595600,2204408350.0
2020-01-06,PETR4,02,30.43,30.94,29.95,30.71,30.81,431,81844000,2513704170.0
2020-01-07,PETR4,02,30.82,30.88,30.47,30.65,30.69,45841,32822000,1006115924.0
2020-01-08,PETR4,02,30.69,30.77,30.24,30.48,30.5,54347,48215600,1469849247.0
2020-01-09,PETR4,02,30.47,30.62,30.25,30.42,30.4,61732,36102700,1098306380.0
2020-01-10,PETR4,02,30.39,30.44,30.13,30.31,30.27,28206,25397500,769809370.0
2020-01-13,PETR4,02,30.35,30.43,30.21,30.32,30.33,42071,30676800,930388940.0
2020-01-14,PETR4,02,30.23,30.27,29.77,29.98,30.0,70173,39796500,1193480941.0
2020-01-15,PETR4,02,29.9,29.93,29.54,29.67,29.55,54178,34405700,1021085805.0
2020-01-16,PETR4,02,29.6,29.7,29.33,29.48,29.52,47747,28997400,854981650.0
2020-01-17,PETR4,02,29.72,29.85,29.54,29.68,29.85,51770,34908000,1036358681.0
2020-01-20,PETR4,02,29.7,30.1,29.65,29.97,30.0,37165,31241400,936421997.0
2020-01-21,PETR4,02,29.8,29.94,29.55,29.67,29.62,49105,28577400,848043297.0
2020-01-22,PETR4,02,29.73,29.81,29.27,29.45,29.29,42325,32491500,956905020.0
2020-01-23,PETR4,02,29.09,29.76,28.82,29.36,29.6,59399,53752100,1578665956.0
2020-01-24,PETR4,02,29.56,29.78,29.14,29.38,29.3,46553,36898700,1084122650.0
2020-01-27,PETR4,02,28.63,28.64,27.67,28.19,28.03,19678,66105300,1863998544.0
2020-01-28,PETR4,02,28.43,29.14,28.42,28.82,28.8,59678,47259100,1362031513.0
2020-01-29,PETR4,02,29.0,29.08,28.67,28.86,28.85,42834,42297500,1221095226.0
2020-01-30,PETR4,02,28.28,29.04,28.18,28.55,28.94,64474,44266800,1264085445.0
2020-01-31,PETR4,02,28.63,28.84,28.31,28.48,28.45,45373,55446700,1579174537.0
2020-02-03,PETR4,02,28.52,28.73,28.16,28.37,28.18,61450,39452800,1119626917.0
2020-02-04,PETR4,02,28.65,29.04,28.56,28.76,28.63,87718,57658400,1658729084.0
2020-02-05,PETR4,02,29.05,29.22,28.39,28.74,28.39,90472,67994500,1954532761.0
2020-02-06,PETR4,02,28.7,29.51,28.12,28.99,29.18,16288,126114000,3657205038.0
