data,ticker,cod_bdi,preco_ab,preco_max,preco_min,preco_med,preco_fech,qtd_neg,qtde_tit,vol_fin
2020-01-02,VALE3,02,53.98,54.44,53.75,54.11,54.33,40516,17509700,947482405.0
2020-01-03,VALE3,02,53.68,54.5,53.58,54.02,53.93,35929,17284800,933866470.0
2020-01-06,VALE3,02,53.8,53.8,53.15,53.45,53.61,47930,32787800,1752721242.0
2020-01-07,VALE3,02,53.5,54.19,53.4,53.89,54.0,34340,16326400,879974431.0
2020-01-08,VALE3,02,54.2,54.37,53.62,53.96,54.01,33980,15298500,825585512.0
2020-01-09,VALE3,02,53.75,53.87,53.05,53.35,53.3,35636,14638000,781001787.0
2020-01-10,VALE3,02,53.75,53.87,53.11,53.38,53.36,22043,9129200,487328297.0
2020-01-13,VALE3,02,53.64,55.64,53.51,54.8,55.3,53927,27497400,1506920715.0
2020-01-14,VALE3,02,55.3,56.35,55.0,55.96,55.64,46860,27817000,1556802130.0
2020-01-15,VALE3,02,55.3,56.08,55.11,55.56,55.46,40421,21425300,1190561383.0
2020-01-16,VALE3,02,55.6,55.95,55.1,55.32,55.17,29949,13149100,727525136.0
2020-01-17,VALE3,02,56.25,57.09,56.1,56.61,57.0,57371,36524100,2067925639.0
2020-01-20,VALE3,02,57.0,57.36,56.53,56.91,57.36,29526,16746300,953066800.0
2020-01-21,VALE3,02,56.8,57.01,55.74,56.29,56.03,50890,25436800,1432086547.0
2020-01-22,VALE3,02,56.6,56.85,56.06,56.37,56.3,30850,17269400,973507152.0
2020-01-23,VALE3,02,55.43,55.73,54.71,55.17,55.5,53858,23028900,1270554037.0
2020-01-24,VALE3,02,55.62,55.73,53.69,54.36,53.8,35978,19744800,1073507315.0
2020-01-27,VALE3,02,51.66,51.82,50.48,50.99,50.51,72018,38779700,1977515345.0
2020-01-28,VALE3,02,51.2,52.09,51.08,51.49,51.2,48643,23046400,1186723163.0
2020-01-29,VALE3,02,51.7,51.89,50.46,50.98,50.75,42741,23323000,1189128813.0
2020-01-30,VALE3,02,49.97,51.5,49.8,50.5,51.5,48706,23083200,1165784299.0
2020-01-31,VALE3,02,50.96,51.06,49.8,50.26,50.27,36620,29988200,1507241661.0
