ticker,simbolo_mt5,data,abertura,maxima,minima,fechamento,volume_ticks,spread,volume_real
VALE3,VALE3,2020-10-22 10:00:00,39.87,39.9,39.72,39.73,1130,1,821800
VALE3,VALE3,2020-10-22 10:15:00,39.73,39.73,39.56,39.65,2025,1,939800
VALE3,VALE3,2020-10-22 10:30:00,39.64,39.87,39.56,39.82,3181,1,1385800
VALE3,VALE3,2020-10-22 10:45:00,39.82,39.89,39.75,39.78,2397,1,1062900
VALE3,VALE3,2020-10-22 11:00:00,39.78,39.8,39.66,39.74,2262,1,906600
VALE3,VALE3,2020-10-22 11:15:00,39.73,39.77,39.52,39.58,1907,1,794900
VALE3,VALE3,2020-10-22 11:30:00,39.57,39.66,39.45,39.45,2888,1,967700
VALE3,VALE3,2020-10-22 11:45:00,39.45,39.8,39.45,39.77,2300,1,867000
VALE3,VALE3,2020-10-22 12:00:00,39.77,39.79,39.7,39.79,1799,1,830500
VALE3,VALE3,2020-10-22 12:15:00,39.79,40.04,39.74,40.0,2713,1,1285100
VALE3,VALE3,2020-10-22 12:30:00,40.0,40.09,39.95,40.08,1741,1,648900
VALE3,VALE3,2020-10-22 12:45:00,40.06,40.08,39.92,39.97,1508,1,2542600
VALE3,VALE3,2020-10-22 13:00:00,39.97,39.99,39.92,39.96,974,1,359700
VALE3,VALE3,2020-10-22 13:15:00,39.96,40.04,39.92,40.03,837,1,293800
VALE3,VALE3,2020-10-22 13:30:00,40.03,40.04,39.96,40.01,990,1,431300
VALE3,VALE3,2020-10-22 13:45:00,40.01,40.11,40.01,40.03,1765,1,725900
VALE3,VALE3,2020-10-22 14:00:00,40.03,40.08,39.99,40.07,1019,1,305900
VALE3,VALE3,2020-10-22 14:15:00,40.08,40.08,39.96,39.98,1007,1,280400
VALE3,VALE3,2020-10-22 14:30:00,39.97,40.05,39.96,40.01,1812,1,571200
VALE3,VALE3,2020-10-22 14:45:00,39.99,40.02,39.94,39.94,1386,1,701700
VALE3,VALE3,2020-10-22 15:00:00,39.94,39.98,39.84,39.86,1936,1,720500
VALE3,VALE3,2020-10-22 15:15:00,39.86,39.94,39.85,39.86,1184,1,348900
VALE3,VALE3,2020-10-22 15:30:00,39.87,39.96,39.85,39.89,1474,1,426900
VALE3,VALE3,2020-10-22 15:45:00,39.89,39.93,39.84,39.88,2252,1,581100
VALE3,VALE3,2020-10-22 16:00:00,39.88,39.9,39.81,39.86,1490,1,364400
VALE3,VALE3,2020-10-22 16:15:00,39.86,39.91,39.85,39.91,1138,1,235400
VALE3,VALE3,2020-10-22 16:30:00,39.89,39.97,39.87,39.87,2145,1,730300
VALE3,VALE3,2020-10-22 16:45:00,39.87,39.91,39.83,39.87,1879,1,11826300
VALE3,VALE3,2020-10-23 10:00:00,39.56,39.58,39.35,39.51,1167,1,1043500
VALE3,VALE3,2020-10-23 10:15:00,39.49,39.7,39.42,39.62,3040,1,2608500
VALE3,VALE3,2020-10-23 10:30:00,39.62,39.73,39.43,39.47,2778,1,1244700
VALE3,VALE3,2020-10-23 10:45:00,39.45,39.49,39.31,39.36,2465,1,1259300
VALE3,VALE3,2020-10-23 11:00:00,39.36,39.54,39.35,39.47,2309,1,902800
VALE3,VALE3,2020-10-23 11:15:00,39.47,39.64,39.47,39.61,1893,1,592800
VALE3,VALE3,2020-10-23 11:30:00,39.6,39.8,39.59,39.73,2810,1,1049500
VALE3,VALE3,2020-10-23 11:45:00,39.72,39.87,39.69,39.83,3607,1,1278600
VALE3,VALE3,2020-10-23 12:00:00,39.83,40.08,39.8,39.97,3372,1,1445700
VALE3,VALE3,2020-10-23 12:15:00,39.97,40.03,39.92,39.97,2232,1,802200
VALE3,VALE3,2020-10-23 12:30:00,39.97,40.12,39.94,40.09,1729,1,711200
VALE3,VALE3,2020-10-23 12:45:00,40.09,40.23,39.99,40.21,2607,1,1017300
VALE3,VALE3,2020-10-23 13:00:00,40.21,40.33,40.18,40.32,2960,1,959500
VALE3,VALE3,2020-10-23 13:15:00,40.3,40.32,40.23,40.24,1407,1,583200
VALE3,VALE3,2020-10-23 13:30:00,40.23,40.31,40.2,40.3,1933,1,768900
VALE3,VALE3,2020-10-23 13:45:00,40.28,40.31,40.13,40.18,1595,1,517500
VALE3,VALE3,2020-10-23 14:00:00,40.18,40.32,40.16,40.3,1696,1,547500
VALE3,VALE3,2020-10-23 14:15:00,40.3,40.37,40.23,40.24,1892,1,690800
VALE3,VALE3,2020-10-23 14:30:00,40.24,40.26,40.2,40.21,861,1,220700
VALE3,VALE3,2020-10-23 14:45:00,40.21,40.25,40.16,40.19,2222,1,1243700
VALE3,VALE3,2020-10-23 15:00:00,40.19,40.24,40.07,40.09,1668,1,564300
VALE3,VALE3,2020-10-23 15:15:00,40.1,40.16,40.04,40.11,1253,1,380000
VALE3,VALE3,2020-10-23 15:30:00,40.12,40.13,40.06,40.08,839,1,260300
VALE3,VALE3,2020-10-23 15:45:00,40.08,40.12,40.06,40.07,765,1,213000
VALE3,VALE3,2020-10-23 16:00:00,40.07,40.18,40.07,40.16,756,1,197900
VALE3,VALE3,2020-10-23 16:15:00,40.16,40.23,40.13,40.17,1328,1,355400
VALE3,VALE3,2020-10-23 16:30:00,40.17,40.18,40.09,40.13,1645,1,714800
VALE3,VALE3,2020-10-23 16:45:00,40.14,40.16,40.09,40.09,1378,1,1947800
VALE3,VALE3,2020-10-26 10:00:00,39.74,40.09,39.72,40.0,1318,1,919700
VALE3,VALE3,2020-10-26 10:15:00,40.01,40.07,39.83,40.03,1246,1,527400
VALE3,VALE3,2020-10-26 10:30:00,40.03,40.03,39.74,39.75,1917,1,855700
VALE3,VALE3,2020-10-26 10:45:00,39.75,39.99,39.68,39.97,1483,1,639200
VALE3,VALE3,2020-10-26 11:00:00,39.96,39.98,39.82,39.83,1024,1,331200
VALE3,VALE3,2020-10-26 11:15:00,39.83,39.89,39.74,39.75,1623,1,560400
VALE3,VALE3,2020-10-26 11:30:00,39.75,39.8,39.71,39.75,1084,1,286500
VALE3,VALE3,2020-10-26 11:45:00,39.77,39.8,39.71,39.73,1151,1,339600
VALE3,VALE3,2020-10-26 12:00:00,39.73,39.74,39.46,39.46,3084,1,1540400
VALE3,VALE3,2020-10-26 12:15:00,39.47,39.55,39.31,39.52,4131,1,1632900
VALE3,VALE3,2020-10-26 12:30:00,39.51,39.68,39.44,39.63,1973,1,713400
VALE3,VALE3,2020-10-26 12:45:00,39.61,39.66,39.48,39.6,2011,1,662400
VALE3,VALE3,2020-10-26 13:00:00,39.6,39.67,39.59,39.61,1111,1,251000
VALE3,VALE3,2020-10-26 13:15:00,39.6,39.64,39.56,39.6,758,1,206900
VALE3,VALE3,2020-10-26 13:30:00,39.61,39.61,39.39,39.39,1584,1,524600
VALE3,VALE3,2020-10-26 13:45:00,39.39,39.48,39.33,39.47,1723,1,839900
VALE3,VALE3,2020-10-26 14:00:00,39.47,39.49,39.34,39.37,1067,1,283100
VALE3,VALE3,2020-10-26 14:15:00,39.35,39.37,39.24,39.29,2304,1,755300
VALE3,VALE3,2020-10-26 14:30:00,39.29,39.34,39.18,39.24,1709,1,609300
VALE3,VALE3,2020-10-26 14:45:00,39.23,39.39,39.22,39.37,1418,1,385500
VALE3,VALE3,2020-10-26 15:00:00,39.38,39.42,39.31,39.41,1388,1,364700
VALE3,VALE3,2020-10-26 15:15:00,39.41,39.42,39.36,39.4,1075,1,318100
VALE3,VALE3,2020-10-26 15:30:00,39.4,39.41,39.26,39.29,1362,1,501500
VALE3,VALE3,2020-10-26 15:45:00,39.3,39.4,39.29,39.34,1617,1,562500
VALE3,VALE3,2020-10-26 16:00:00,39.34,39.39,39.25,39.26,1548,1,671500
VALE3,VALE3,2020-10-26 16:15:00,39.25,39.36,39.25,39.34,1373,1,453500
VALE3,VALE3,2020-10-26 16:30:00,39.34,39.4,39.3,39.38,1864,1,804100
VALE3,VALE3,2020-10-26 16:45:00,39.38,39.49,39.31,39.49,2096,1,1618800
VALE3,VALE3,2020-10-27 10:00:00,39.49,39.58,39.38,39.48,2067,1,924700
VALE3,VALE3,2020-10-27 10:15:00,39.48,39.62,39.42,39.42,2285,1,750100
VALE3,VALE3,2020-10-27 10:30:00,39.44,39.48,39.21,39.23,2746,1,1206100
VALE3,VALE3,2020-10-27 10:45:00,39.24,39.51,39.23,39.42,2098,1,819200
