data_hora,ativo,fold,estrategia,retorno_liquido,sharpe_ratio,max_drawdown,profit_factor,turnover,n_trades,custo_total_reais,capital_inicial,capital_final,n_barras
20260207_171810,PETR4,1,long_only,0.0047528948016728,0.3599866464906869,-0.1388012618296533,1.014494014689322,0.0,1,80.0,100000.0,100475.28948016728,486
20260207_171818,PETR4,1,long_short,0.0047528948016728,0.3599866464906869,-0.1388012618296533,1.014494014689322,0.0,1,80.0,100000.0,100475.28948016728,486
20260207_171825,PETR4,2,long_only,-0.0896294114871409,-2.179525644586565,-0.2353823088455756,0.9109180466281764,0.0,1,80.0,100000.0,91037.05885128592,486
20260207_171832,PETR4,2,long_short,-0.0896294114871409,-2.179525644586565,-0.2353823088455756,0.9109180466281764,0.0,1,80.0,100000.0,91037.05885128592,486
20260207_171837,PETR4,3,long_only,0.0,0.0,0.0,0.0,0.0,0,0.0,100000.0,100000.0,486
20260207_171844,PETR4,3,long_short,-0.0190137485757678,-0.7647661337137868,-0.1034846884899675,0.9698036439395176,0.0,1,80.0,100000.0,98098.62514242322,486
20260207_171851,PETR4,4,long_only,-0.064670881580192,-5.115133452347953,-0.0723443223443207,0.8233410859885789,0.0,1,80.0,100000.0,93532.9118419808,486
20260207_171858,PETR4,4,long_short,-0.064670881580192,-5.115133452347953,-0.0723443223443207,0.8233410859885789,0.0,1,80.0,100000.0,93532.9118419808,486
20260207_171905,PETR4,5,long_only,-0.00159936,-11.118571918615888,-0.00159936,0.0,0.0092592592592592,2,159.93599999999998,100000.0,99840.064,108
20260207_171912,PETR4,5,long_short,-0.0092930326298164,-2.9427525530532512,-0.0160053351117032,0.9053998787019388,0.0092592592592592,3,159.93599999999998,100000.0,99070.69673701836,108
20260207_171919,PETR4,1,long_short,0.0047528948016728,0.3599866464906869,-0.1388012618296533,1.014494014689322,0.0,1,80.0,100000.0,100475.28948016728,486
20260207_171923,VALE3,1,long_only,0.0,0.0,0.0,0.0,0.0,0,0.0,100000.0,100000.0,486
20260207_171930,VALE3,1,long_short,0.056494495412847,2.30145217517605,-0.1003625576796296,1.101877962139621,0.0,1,80.0,100000.0,105649.4495412847,486
20260207_171937,VALE3,2,long_only,0.0,0.0,0.0,0.0,0.0,0,0.0,100000.0,100000.0,486
20260207_171944,VALE3,2,long_short,0.0910878571428607,2.92970439846502,-0.0668462704158944,1.1251186666760364,0.0,1,80.0,100000.0,109108.78571428607,486
20260207_171951,VALE3,3,long_only,0.0,0.0,0.0,0.0,0.0,0,0.0,100000.0,100000.0,486
20260207_171956,VALE3,3,long_short,-0.0774202367061168,-4.495784421367949,-0.1318553092182021,0.8285924905005009,0.0,1,80.0,100000.0,92257.97632938832,486
20260207_172003,VALE3,4,long_only,-0.0020483926097405,-0.057279997756047,-0.0492568268233677,0.997441655994333,0.0267489711934156,14,1124.162918390375,100000.0,99795.16073902596,486
20260207_172010,VALE3,4,long_short,-0.0005540845544521,0.0541606446731012,-0.0492568268233677,1.0023492178363058,0.0267489711934156,27,1123.283443579359,100000.0,99944.5915445548,486
20260207_172018,VALE3,5,long_only,0.0262317529035639,10.217847867582526,-0.0091398726946307,1.447006771637027,0.0,1,80.0,100000.0,102623.1752903564,123
20260207_172023,VALE3,5,long_short,0.0262317529035639,10.217847867582526,-0.0091398726946307,1.447006771637027,0.0,1,80.0,100000.0,102623.1752903564,123
20260207_172030,VALE3,1,long_short,0.056494495412847,2.30145217517605,-0.1003625576796296,1.101877962139621,0.0,1,80.0,100000.0,105649.4495412847,486
20260207_172037,ITUB4,1,long_only,-0.0041986394557832,0.0019810316611523,-0.0913487372380449,1.000068838470676,0.0,1,80.0,100000.0,99580.13605442167,486
20260207_172044,ITUB4,1,long_short,-0.0041986394557832,0.0019810316611523,-0.0913487372380449,1.000068838470676,0.0,1,80.0,100000.0,99580.13605442167,486
20260207_172050,ITUB4,2,long_only,0.0156682462462344,0.8620819330831015,-0.077119727311461,1.0356727571745468,0.0,1,80.0,100000.0,101566.82462462343,486
20260207_172056,ITUB4,2,long_short,0.0156682462462344,0.8620819330831015,-0.077119727311461,1.0356727571745468,0.0,1,80.0,100000.0,101566.82462462343,486
20260207_172103,ITUB4,3,long_only,0.0161992532195236,1.243862153184575,-0.0361999738458641,1.0545314044457743,0.0452674897119341,23,1824.307002365464,100000.0,101619.92532195237,486
20260207_172110,ITUB4,3,long_short,0.0319849589202192,2.091364385266086,-0.033046565192216,1.0765139309346887,0.0452674897119341,45,1837.542321236652,100000.0,103198.49589202192,486
20260207_172117,ITUB4,4,long_only,0.0287154378871484,2.325259834439044,-0.0303530188056749,1.0916018839704549,0.0,1,80.0,100000.0,102871.54378871484,486
20260207_172122,ITUB4,4,long_short,0.0287154378871484,2.325259834439044,-0.0303530188056749,1.0916018839704549,0.0,1,80.0,100000.0,102871.54378871484,486
20260207_172129,ITUB4,5,long_only,0.0,0.0,0.0,0.0,0.0,0,0.0,100000.0,100000.0,134
20260207_172136,ITUB4,5,long_short,-0.0167962214641834,-5.118007252746477,-0.0313643491897542,0.8327387091364692,0.0,1,80.0,100000.0,98320.37785358164,134
20260207_172143,ITUB4,1,long_short,-0.0041986394557832684,0.001981031661152342,-0.09134873723804497,1.000068838470676,0.0,1,80.0,100000.0,99580.13605442167,486
