ticker,simbolo_mt5,data,abertura,maxima,minima,fechamento,volume_ticks,spread,volume_real
PETR4,PETR4,2020-10-22 10:00:00,5.78,5.79,5.77,5.78,607,1,548500
PETR4,PETR4,2020-10-22 10:15:00,5.78,5.82,5.77,5.8,2261,1,2118000
PETR4,PETR4,2020-10-22 10:30:00,5.8,5.82,5.79,5.8100000000000005,2136,1,2030300
PETR4,PETR4,2020-10-22 10:45:00,5.8100000000000005,5.96,5.8100000000000005,5.96,6823,1,15523800
PETR4,PETR4,2020-10-22 11:00:00,5.96,5.96,5.89,5.89,4464,1,5622100
PETR4,PETR4,2020-10-22 11:15:00,5.89,5.92,5.86,5.87,2841,1,2945800
PETR4,PETR4,2020-10-22 11:30:00,5.87,5.9,5.87,5.89,1830,1,2059300
PETR4,PETR4,2020-10-22 11:45:00,5.89,5.93,5.87,5.92,3078,1,3874200
PETR4,PETR4,2020-10-22 12:00:00,5.91,5.95,5.89,5.9399999999999995,3734,1,5638000
PETR4,PETR4,2020-10-22 12:15:00,5.9399999999999995,5.96,5.91,5.96,3704,1,6232900
PETR4,PETR4,2020-10-22 12:30:00,5.96,5.96,5.9399999999999995,5.9399999999999995,3870,1,5732000
PETR4,PETR4,2020-10-22 12:45:00,5.9399999999999995,5.9399999999999995,5.92,5.92,3251,1,3696100
PETR4,PETR4,2020-10-22 13:00:00,5.92,5.9399999999999995,5.92,5.92,1675,1,1610200
PETR4,PETR4,2020-10-22 13:15:00,5.92,5.9399999999999995,5.91,5.9399999999999995,1460,1,1034000
PETR4,PETR4,2020-10-22 13:30:00,5.9399999999999995,5.9399999999999995,5.91,5.92,2073,1,2081100
PETR4,PETR4,2020-10-22 13:45:00,5.93,5.96,5.92,5.96,3510,1,5214300
PETR4,PETR4,2020-10-22 14:00:00,5.96,5.97,5.9399999999999995,5.9399999999999995,3301,1,4124100
PETR4,PETR4,2020-10-22 14:15:00,5.9399999999999995,5.96,5.93,5.9399999999999995,2416,1,3374800
PETR4,PETR4,2020-10-22 14:30:00,5.9399999999999995,5.96,5.93,5.95,1651,1,972300
PETR4,PETR4,2020-10-22 14:45:00,5.95,5.97,5.9399999999999995,5.96,2042,1,3517500
PETR4,PETR4,2020-10-22 15:00:00,5.96,5.98,5.96,5.97,2926,1,2625600
PETR4,PETR4,2020-10-22 15:15:00,5.97,5.99,5.97,5.98,2933,1,1857200
PETR4,PETR4,2020-10-22 15:30:00,5.98,5.98,5.96,5.97,2453,1,1504700
PETR4,PETR4,2020-10-22 15:45:00,5.97,5.98,5.96,5.98,2278,1,1445600
PETR4,PETR4,2020-10-22 16:00:00,5.98,5.98,5.97,5.98,2572,1,1706800
PETR4,PETR4,2020-10-22 16:15:00,5.98,5.98,5.97,5.98,2715,1,1699800
PETR4,PETR4,2020-10-22 16:30:00,5.98,5.99,5.97,5.97,3550,1,2856800
PETR4,PETR4,2020-10-22 16:45:00,5.97,6.0,5.97,6.0,3173,1,6713600
PETR4,PETR4,2020-10-23 10:00:00,6.02,6.03,6.0,6.01,1685,1,3844000
PETR4,PETR4,2020-10-23 10:15:00,6.0,6.05,5.98,6.05,5017,1,4648700
PETR4,PETR4,2020-10-23 10:30:00,6.05,6.08,6.04,6.06,5439,1,5328800
PETR4,PETR4,2020-10-23 10:45:00,6.05,6.05,5.99,6.03,4119,1,3948600
PETR4,PETR4,2020-10-23 11:00:00,6.02,6.03,5.98,6.01,3112,1,3065200
